accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.06,-0.05,0.88,-0.52,-0.36,-0.03,3.81,-3.02
0.04,-0.04,0.9,-0.5,-0.35,-0.05,2.76,-2.79
0.03,-0.04,0.92,-0.45,-0.33,-0.06,2.15,-2.26
0.03,-0.03,0.93,-0.41,-0.32,-0.07,1.84,-1.8
0.01,-0.02,0.93,-0.37,-0.27,-0.08,0.83,-1.2
0.0,-0.01,0.94,-0.35,-0.24,-0.07,0.14,-0.78
-0.0,-0.0,0.93,-0.32,-0.22,-0.07,-0.01,-0.24
-0.02,-0.0,0.91,-0.29,-0.2,-0.08,-1.02,-0.22
-0.01,0.0,0.93,-0.27,-0.18,-0.08,-0.89,0.19
-0.02,-0.0,0.93,-0.26,-0.15,-0.09,-1.06,-0.16
-0.01,-0.0,0.94,-0.26,-0.13,-0.07,-0.81,-0.25
-0.02,-0.0,0.93,-0.24,-0.14,-0.08,-1.11,-0.05
-0.01,0.01,0.92,-0.23,-0.13,-0.08,-0.59,0.33
-0.01,0.0,0.93,-0.23,-0.12,-0.08,-0.56,0.17
-0.0,-0.0,0.93,-0.24,-0.12,-0.08,-0.29,-0.03
0.0,-0.0,0.94,-0.22,-0.14,-0.08,0.27,-0.2
0.0,0.0,0.93,-0.21,-0.14,-0.09,0.07,0.15
0.01,0.01,0.93,-0.21,-0.16,-0.08,0.51,0.52
0.01,0.01,0.93,-0.21,-0.16,-0.09,0.55,0.34
0.01,0.02,0.94,-0.21,-0.18,-0.08,0.65,0.93
0.01,0.01,0.94,-0.19,-0.18,-0.09,0.61,0.77
0.02,0.02,0.94,-0.19,-0.16,-0.09,1.11,0.92
0.02,0.02,0.95,-0.18,-0.16,-0.09,1.3,1.26
0.02,0.02,0.94,-0.16,-0.17,-0.1,1.23,1.09
0.02,0.02,0.94,-0.14,-0.16,-0.1,0.95,1.38
0.02,0.02,0.95,-0.13,-0.16,-0.11,1.24,1.34
0.01,0.02,0.95,-0.12,-0.15,-0.11,0.38,1.37
0.01,0.02,0.95,-0.1,-0.14,-0.12,0.55,1.42
-0.0,0.02,0.95,-0.1,-0.13,-0.12,-0.13,1.26
-0.0,0.03,0.95,-0.1,-0.1,-0.13,-0.17,1.72
-0.0,0.03,0.96,-0.1,-0.09,-0.13,-0.2,1.88
-0.0,0.04,0.96,-0.1,-0.07,-0.12,-0.13,2.55
0.0,0.04,0.96,-0.09,-0.08,-0.13,0.24,2.41
0.01,0.04,0.97,-0.07,-0.04,-0.13,0.77,2.52
0.02,0.05,0.98,-0.05,-0.02,-0.12,1.31,2.87
0.03,0.05,0.99,-0.04,-0.0,-0.12,1.72,3.09
0.03,0.05,0.98,-0.01,0.0,-0.12,1.99,3.18
0.04,0.05,0.98,0.0,0.03,-0.12,2.05,3.17
