accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.3,-0.07,1.22,-1.75,-2.13,-0.04
0.28,-0.11,1.25,-1.71,-1.94,-0.16
0.22,-0.13,1.22,-1.64,-1.68,-0.29
0.16,-0.11,1.16,-1.59,-1.46,-0.36
0.15,-0.07,1.11,-1.58,-1.26,-0.4
0.18,-0.06,1.13,-1.6,-1.15,-0.42
0.23,-0.07,1.2,-1.64,-1.04,-0.46
0.3,-0.09,1.25,-1.69,-0.93,-0.56
0.32,-0.04,1.3,-1.73,-0.93,-0.67
0.3,-0.04,1.31,-1.8,-0.93,-0.8
0.28,-0.03,1.31,-1.83,-1.02,-0.92
0.2,-0.01,1.29,-1.83,-1.16,-1.0
0.2,-0.0,1.22,-1.84,-1.23,-1.07
0.17,-0.03,1.16,-1.86,-1.36,-1.11
0.1,-0.0,1.14,-1.92,-1.41,-1.14
0.06,-0.02,1.12,-1.96,-1.33,-1.15
-0.0,-0.01,1.12,-1.99,-1.2,-1.18
-0.07,0.02,1.09,-1.97,-1.09,-1.19
-0.11,0.02,1.06,-1.91,-1.08,-1.19
-0.14,0.03,1.03,-1.83,-0.96,-1.17
-0.14,0.05,1.0,-1.75,-0.8,-1.13
-0.11,0.06,1.0,-1.69,-0.64,-1.1
-0.11,0.04,1.01,-1.65,-0.46,-1.09
-0.12,0.04,1.0,-1.64,-0.3,-1.06
-0.11,0.06,0.99,-1.61,-0.19,-1.04
-0.09,0.07,0.98,-1.62,-0.15,-1.04
-0.11,0.06,0.98,-1.65,-0.24,-1.02
-0.12,0.05,0.99,-1.69,-0.41,-1.0
-0.16,0.05,1.0,-1.71,-0.53,-0.97
-0.19,0.05,1.03,-1.67,-0.66,-0.94
-0.17,0.09,1.03,-1.61,-0.74,-0.92
-0.13,0.08,1.05,-1.52,-0.81,-0.91
-0.09,0.08,1.08,-1.43,-0.8,-0.92
-0.06,0.07,1.09,-1.34,-0.7,-0.94
-0.05,0.06,1.09,-1.28,-0.56,-0.97
-0.05,0.05,1.08,-1.19,-0.42,-1.01
-1.97,1.5,-0.13,-0.75,-1.39,-0.82
-1.49,1.2,0.76,0.7,-2.77,0.03
-0.01,-0.0,1.99,1.16,-0.23,-0.1
0.28,-0.13,1.62,1.14,0.71,-0.74
0.01,-0.14,0.99,0.96,0.24,-0.88
0.15,-0.15,0.9,0.79,-0.06,-0.77
0.28,-0.1,0.96,0.64,-0.12,-0.81
0.13,-0.1,0.96,0.65,0.04,-0.9
-0.16,0.05,0.77,0.71,0.2,-0.9
-0.32,0.2,0.66,0.79,0.14,-0.78
-0.29,0.2,0.65,0.88,0.2,-0.63
-0.24,0.16,0.73,0.94,0.38,-0.52
-0.18,0.11,0.79,1.0,0.56,-0.47
-0.18,0.14,0.87,1.06,0.68,-0.44
-0.19,0.11,0.96,1.16,0.83,-0.43
-0.16,0.1,1.06,1.28,1.0,-0.43
-0.05,0.05,1.1,1.4,1.04,-0.49
0.02,-0.0,1.1,1.46,1.09,-0.54
0.04,0.04,1.22,1.46,1.55,-0.56
0.06,0.09,1.31,1.49,1.88,-0.59
-0.01,0.06,1.03,1.53,1.34,-0.71
-0.13,-0.07,0.76,1.52,0.89,-0.62
-0.12,0.04,0.73,1.4,1.21,-0.42
-0.11,0.22,0.73,1.29,1.58,-0.34
-0.13,0.03,0.6,1.33,1.15,-0.26
-0.16,-0.06,0.61,1.25,1.11,-0.05
-0.05,-0.02,0.71,1.17,1.31,0.11
0.07,-0.04,0.68,1.05,1.33,0.2
0.03,-0.07,0.62,0.93,1.3,0.3
-0.03,-0.07,0.65,0.78,1.38,0.45
-0.14,-0.07,0.66,0.67,1.4,0.64
-0.25,0.02,0.72,0.62,1.39,0.86
-0.12,-0.0,0.78,0.58,1.37,1.05
0.02,-0.05,0.83,0.51,1.38,1.15
0.08,-0.07,0.87,0.43,1.4,1.17
0.13,-0.18,0.9,0.35,1.24,1.12
0.09,-0.33,0.97,0.27,0.85,0.94
0.09,-0.41,0.98,0.21,0.36,0.73
0.16,-0.26,0.94,0.16,0.15,0.57
0.23,-0.16,0.91,0.13,0.09,0.43
0.25,-0.11,0.92,0.1,0.1,0.36
0.23,-0.06,0.93,0.03,0.02,0.34
0.21,0.02,0.97,-0.06,-0.03,0.29
0.23,0.12,0.97,-0.09,-0.09,0.26
0.17,0.19,0.92,-0.11,-0.17,0.24
0.18,0.19,0.89,-0.09,-0.31,0.27
0.19,0.17,0.87,-0.06,-0.34,0.32
0.2,0.13,0.86,-0.05,-0.33,0.4
0.19,0.09,0.83,-0.04,-0.31,0.47
0.17,0.08,0.83,-0.04,-0.33,0.55
0.15,0.08,0.83,-0.03,-0.37,0.61
0.15,0.08,0.84,-0.02,-0.44,0.66
0.13,0.1,0.86,0.01,-0.49,0.69
0.12,0.1,0.88,0.06,-0.55,0.7
0.13,0.1,0.89,0.11,-0.62,0.69
0.13,0.1,0.91,0.18,-0.66,0.64
0.16,0.07,0.9,0.22,-0.69,0.58
0.16,0.06,0.91,0.24,-0.75,0.49
0.16,0.05,0.87,0.24,-0.81,0.41
0.15,0.05,0.87,0.24,-0.91,0.35
0.13,0.06,0.89,0.23,-0.97,0.25
0.12,0.06,0.89,0.2,-1.05,0.17
0.1,0.07,0.88,0.18,-1.12,0.08
0.06,0.08,0.89,0.13,-1.21,0.01
0.05,0.08,0.88,0.08,-1.29,-0.05
0.03,0.08,0.88,0.0,-1.42,-0.08
0.01,0.1,0.94,-0.05,-1.5,-0.12
-0.02,0.13,0.98,-0.06,-1.52,-0.15
-0.05,0.14,1.01,-0.04,-1.5,-0.16
