accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.24,0.48,1.94,-1.64,0.85,-0.57,6.95,13.74
0.2,0.49,2.05,-1.88,1.14,-0.61,5.53,13.25
0.18,0.48,2.2,-2.12,1.66,-0.89,4.53,12.34
0.15,0.5,2.35,-2.33,1.87,-0.85,3.68,11.96
0.1,0.53,2.45,-2.56,2.28,-0.97,2.32,12.28
0.06,0.55,2.48,-2.78,2.67,-1.08,1.4,12.57
0.01,0.51,2.52,-2.95,3.05,-1.16,0.19,11.44
-0.06,0.42,2.51,-3.13,3.42,-1.27,-1.38,9.44
-0.13,0.38,2.45,-3.3,3.87,-1.35,-3.01,8.89
-0.19,0.36,2.39,-3.37,4.3,-1.36,-4.6,8.57
-0.28,0.33,2.32,-3.42,4.34,-1.33,-6.77,7.99
-0.38,0.27,2.28,-3.37,4.34,-1.28,-9.33,6.76
-0.48,0.22,2.25,-3.22,4.34,-1.21,-11.86,5.42
-0.56,0.24,2.18,-2.96,4.34,-1.13,-14.27,5.98
-0.63,0.27,2.11,-2.63,4.34,-0.98,-16.51,7.05
-0.7,0.23,2.09,-2.24,4.34,-0.79,-18.36,6.0
-0.73,0.17,2.1,-1.82,4.34,-0.57,-19.2,4.43
-0.72,0.1,2.13,-1.33,4.34,-0.33,-18.71,2.46
-0.68,0.01,2.17,-0.87,4.34,-0.13,-17.35,0.36
-0.63,-0.07,2.21,-0.39,4.34,0.05,-15.97,-1.81
-0.57,-0.17,2.25,0.03,4.34,0.23,-14.14,-4.22
-0.48,-0.29,2.3,0.4,4.34,0.37,-11.66,-7.03
-0.37,-0.41,2.35,0.72,4.34,0.47,-8.86,-9.7
-0.26,-0.55,2.41,0.98,4.34,0.52,-6.07,-12.7
-0.16,-0.69,2.45,1.18,4.34,0.52,-3.62,-15.66
-0.09,-0.8,2.48,1.36,4.34,0.49,-1.92,-17.83
-0.02,-0.86,2.47,1.53,4.34,0.38,-0.49,-19.2
0.06,-0.94,2.48,1.53,4.34,0.42,1.31,-20.73
0.13,-1.0,2.44,1.51,4.34,0.4,2.8,-22.21
0.18,-1.08,2.3,1.46,4.34,0.38,4.03,-25.16
0.2,-1.13,2.14,1.38,4.34,0.37,4.61,-27.71
0.21,-1.14,1.98,1.33,4.34,0.35,5.22,-29.74
0.23,-1.14,1.82,1.28,4.34,0.37,6.24,-31.88
0.3,-1.19,1.67,1.18,4.34,0.41,8.39,-35.11
0.36,-1.28,1.55,1.1,4.34,0.42,10.11,-38.84
0.39,-1.37,1.45,1.02,4.34,0.4,10.94,-42.52
0.42,-1.43,1.36,0.97,4.34,0.33,12.01,-45.06
0.41,-1.44,1.26,0.95,4.34,0.25,12.02,-47.41
0.37,-1.42,1.15,0.98,4.34,0.19,11.27,-49.66
0.32,-1.37,1.04,1.02,4.34,0.17,10.67,-51.47
0.3,-1.3,0.9,1.11,4.34,0.2,10.64,-53.77
0.29,-1.26,0.76,1.17,4.34,0.25,11.0,-57.05
