accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.0,-0.05,0.87,0.01,-0.09,0.05,-0.18,-3.04
-0.01,-0.05,0.87,-0.0,-0.09,0.04,-0.49,-3.09
-0.0,-0.05,0.87,-0.02,-0.09,0.04,-0.22,-3.1
-0.01,-0.04,0.87,-0.03,-0.08,0.04,-0.65,-2.59
-0.01,-0.04,0.86,-0.04,-0.08,0.04,-0.43,-2.8
-0.01,-0.04,0.85,-0.06,-0.07,0.03,-0.82,-2.4
-0.01,-0.04,0.86,-0.06,-0.06,0.02,-0.88,-2.51
-0.02,-0.04,0.86,-0.07,-0.07,0.03,-1.0,-2.35
-0.01,-0.03,0.86,-0.08,-0.07,0.02,-0.77,-1.94
-0.01,-0.03,0.86,-0.09,-0.06,0.02,-0.84,-1.95
-0.01,-0.02,0.86,-0.1,-0.06,0.01,-0.64,-1.6
-0.01,-0.03,0.86,-0.11,-0.04,0.01,-0.75,-1.85
-0.01,-0.03,0.86,-0.12,-0.04,-0.01,-0.57,-1.7
-0.02,-0.02,0.86,-0.13,-0.04,-0.01,-1.2,-1.54
-0.02,-0.03,0.87,-0.15,-0.04,-0.03,-1.54,-1.8
-0.03,-0.03,0.89,-0.16,-0.04,-0.03,-1.7,-1.62
-0.03,-0.03,0.9,-0.18,-0.04,-0.04,-2.01,-1.85
-0.04,-0.02,0.92,-0.18,-0.04,-0.04,-2.26,-1.21
-0.04,-0.01,0.94,-0.19,-0.04,-0.02,-2.23,-0.55
-0.04,-0.0,0.94,-0.19,-0.04,-0.02,-2.39,-0.3
-0.04,0.01,0.96,-0.22,-0.04,-0.01,-2.09,0.49
-0.04,0.01,0.96,-0.21,-0.04,-0.01,-2.36,0.65
-0.04,0.03,0.97,-0.2,-0.04,-0.0,-2.15,1.6
-0.03,0.03,0.97,-0.19,-0.04,0.01,-1.96,1.97
-0.03,0.05,0.97,-0.2,-0.02,0.0,-1.98,2.84
-0.03,0.06,0.98,-0.17,-0.01,0.0,-1.55,3.46
-0.03,0.07,0.98,-0.16,-0.02,0.02,-1.56,3.81
-0.02,0.07,0.97,-0.16,0.02,-0.01,-1.26,3.96
-0.02,0.07,0.97,-0.12,0.01,0.0,-1.44,3.96
-0.03,0.07,0.97,-0.11,0.02,-0.01,-1.72,4.02
-0.02,0.07,0.97,-0.09,0.02,-0.01,-1.19,4.03
-0.03,0.07,0.97,-0.09,0.02,-0.02,-1.55,4.21
-0.03,0.07,0.97,-0.1,0.03,-0.01,-1.87,4.09
-0.03,0.07,0.97,-0.07,0.02,-0.01,-1.68,4.13
-0.03,0.07,0.98,-0.06,0.01,-0.01,-1.85,4.19
